Category,Frequency,Proportion (%)
PRC,63,0.017169019
PSC,292,0.079577043
PSG,52,0.014171254
PSM,22,0.005995531
PSP,1128,0.307407206
PUB,52,0.014171254
PVD,518,0.141167493
PVU,48,0.013081158
PWM,484,0.131901673
RAP,328,0.089387911
RDD,28,0.007630675
RDM,376,0.102469069
RDU,2352,0.640976726
RFD,66,0.017986592
RHI,60,0.016351447
RIC,885,0.241183845
RIW,43,0.011718537
RKS,45,0.012263585
RNO,1032,0.28124489
ROA,124,0.033792991
ROC,418,0.113915081
ROW,57,0.015533875
RST,233,0.06349812
RSW,3194,0.870442034
SAF,96,0.026162315
SAN,3756,1.023600589
SAT,1624,0.442579168
SAV,863,0.235188314
SBA,250,0.06813103
SBN,449,0.122363329
SBP,307,0.083664904
SCC,41,0.011173489
SCE,47,0.012808634
SCK,31,0.008448248
SDF,1035,0.282062463
SEA,8556,2.331716357
SFB,692,0.18858669
SFO,6129,1.670300322
SGF,536,0.146072927
SGU,282,0.076851801
SHD,51,0.01389873
SHR,53,0.014443778
SHV,358,0.097563634
SIT,30,0.008175724
SJC,2098,0.5717556
SJT,121,0.032975418
SJU,2091,0.569847932
SLC,8686,2.367144492
SLN,53,0.014443778
SMF,2527,0.688668447
SMX,20,0.005450482
SNA,1780,0.485092931
SPI,11,0.002997765
SPN,13,0.003542814
SPS,83,0.022619502
SRQ,904,0.246361803
STC,13,0.003542814
STL,2898,0.789774895
STS,137,0.037335804
STT,444,0.121000709
STX,114,0.031067749
SUN,169,0.046056576
SUX,54,0.014716302
SWF,26,0.007085627
SWO,41,0.011173489
SYR,416,0.113370033
TLH,362,0.098653731
TOL,37,0.010083392
TPA,4729,1.288766556
TRI,164,0.044693955
TTN,83,0.022619502
TUL,849,0.231372977
TUS,1055,0.287512945
TVC,190,0.051779582
TWF,100,0.027252412
TXK,84,0.022892026
TYR,102,0.02779746
TYS,677,0.184498828
USA,81,0.022074454
VCT,51,0.01389873
VEL,49,0.013353682
VLD,91,0.024799695
VPS,564,0.153703603
WRG,54,0.014716302
XNA,515,0.140349921
XWA,57,0.015533875
YAK,52,0.014171254
YUM,154,0.041968714
