Category,Frequency,Proportion (%)
PRC,63,0.017169019
PSC,291,0.079304518
PSG,54,0.014716302
PSM,23,0.006268055
PSP,1128,0.307407206
PUB,52,0.014171254
PVD,523,0.142530114
PVU,48,0.013081158
PWM,484,0.131901673
RAP,328,0.089387911
RDD,29,0.007903199
RDM,375,0.102196544
RDU,2346,0.639341582
RFD,66,0.017986592
RHI,60,0.016351447
RIC,884,0.240911321
RIW,41,0.011173489
RKS,44,0.011991061
RNO,1030,0.280699842
ROA,123,0.033520467
ROC,420,0.11446013
ROW,57,0.015533875
RST,233,0.06349812
RSW,3204,0.873167275
SAF,96,0.026162315
SAN,3761,1.024963209
SAT,1625,0.442851692
SAV,862,0.23491579
SBA,249,0.067858505
SBN,446,0.121545757
SBP,307,0.083664904
SCC,41,0.011173489
SCE,45,0.012263585
SCK,30,0.008175724
SDF,1033,0.281517414
SEA,8532,2.325175778
SFB,690,0.188041642
SFO,6124,1.668937701
SGF,534,0.145527879
SGU,282,0.076851801
SHD,52,0.014171254
SHR,52,0.014171254
SHV,353,0.096201014
SIT,31,0.008448248
SJC,2094,0.570665504
SJT,121,0.032975418
SJU,2090,0.569575407
SLC,8709,2.373412547
SLN,53,0.014443778
SMF,2528,0.688940971
SMX,20,0.005450482
SNA,1783,0.485910503
SPI,11,0.002997765
SPN,13,0.003542814
SPS,83,0.022619502
SRQ,911,0.248269472
STC,13,0.003542814
STL,2902,0.790864992
STS,134,0.036518232
STT,449,0.122363329
STX,114,0.031067749
SUN,166,0.045239004
SUX,55,0.014988827
SWF,26,0.007085627
SWO,41,0.011173489
SYR,414,0.112824985
TLH,363,0.098926255
TOL,37,0.010083392
TPA,4732,1.289584128
TRI,161,0.043876383
TTN,83,0.022619502
TUL,842,0.229465308
TUS,1056,0.287785469
TVC,189,0.051507058
TWF,100,0.027252412
TXK,83,0.022619502
TYR,101,0.027524936
TYS,675,0.18395378
USA,81,0.022074454
VCT,51,0.01389873
VEL,46,0.012536109
VLD,91,0.024799695
VPS,565,0.153976127
WRG,54,0.014716302
XNA,509,0.138714776
XWA,57,0.015533875
YAK,49,0.013353682
YUM,154,0.041968714
