,DEP_DELAY,DEP_DELAY_GROUP,ARR_DELAY,ARR_DELAY_GROUP,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
DEP_DELAY,1.0,0.7983304069855485,0.9483067693148198,0.7179406509051608,0.00995609257718855,0.004244280646562529,0.005982019156834668,0.0040603628696873175,0.7234189836261804,0.39487125726924704,0.2724004887893673,0.030669240392011764,0.4914917158545568
DEP_DELAY_GROUP,0.7983304069855485,1.0,0.7563185200205849,0.869511894290814,0.01851901549702346,0.012617142937890947,0.015092542248250742,0.013745645878071753,0.5254030524540083,0.2100599465132935,0.2500894151001493,0.048197730957032635,0.4591373670185802
ARR_DELAY,0.9483067693148198,0.7563185200205849,1.0,0.8173656933780652,0.0439908893738008,0.00959509333789228,-0.004696852065596104,-0.006390630169526505,0.6955099180190569,0.3858520810033434,0.35068945287540315,0.030882185269561067,0.46976640925818797
ARR_DELAY_GROUP,0.7179406509051608,0.869511894290814,0.8173656933780652,1.0,0.0794030639925717,0.032234796581436985,0.012058553239265222,0.0108406796363581,0.492042975794142,0.2001892766877673,0.36076593435478677,0.04600279905535755,0.42247247809902
ACTUAL_ELAPSED_TIME,0.00995609257718855,0.01851901549702346,0.0439908893738008,0.0794030639925717,1.0,0.9886954123685123,0.9685436639625251,0.9565911681313095,0.01224662001718675,0.0033170344913079036,0.07909459731376713,0.0007651313377561153,0.0007822985595936268
AIR_TIME,0.004244280646562529,0.012617142937890947,0.00959509333789228,0.032234796581436985,0.9886954123685123,1.0,0.981069689971688,0.9692446772584588,0.005475803217073487,-0.0049099695725621515,0.038669938221965794,0.00015798402134629998,-0.002740624066064295
DISTANCE,0.005982019156834668,0.015092542248250742,-0.004696852065596104,0.012058553239265222,0.9685436639625251,0.981069689971688,1.0,0.9864820386048629,0.004831249098837913,-0.0062684828781460495,0.02435283461827569,-0.00014839192002807038,-0.0019614404683590226
DISTANCE_GROUP,0.0040603628696873175,0.013745645878071753,-0.006390630169526505,0.0108406796363581,0.9565911681313095,0.9692446772584588,0.9864820386048629,1.0,0.003373751015752935,-0.007407752844169076,0.024281182654164905,-4.912672232118405e-06,-0.0025996254533126486
CARRIER_DELAY,0.7234189836261804,0.5254030524540083,0.6955099180190569,0.492042975794142,0.01224662001718675,0.005475803217073487,0.004831249098837913,0.003373751015752935,1.0,-0.002972902404231495,0.01767903101933495,-0.001501369848457031,0.04085805945013985
WEATHER_DELAY,0.39487125726924704,0.2100599465132935,0.3858520810033434,0.2001892766877673,0.0033170344913079036,-0.0049099695725621515,-0.0062684828781460495,-0.007407752844169076,-0.002972902404231495,1.0,0.024350314816360377,-0.0006727527038906457,0.009563700193733576
NAS_DELAY,0.2724004887893673,0.2500894151001493,0.35068945287540315,0.36076593435478677,0.07909459731376713,0.038669938221965794,0.02435283461827569,0.024281182654164905,0.01767903101933495,0.024350314816360377,1.0,0.0033512930877616543,0.03268119741283724
SECURITY_DELAY,0.030669240392011764,0.048197730957032635,0.030882185269561067,0.04600279905535755,0.0007651313377561153,0.00015798402134629998,-0.00014839192002807038,-4.912672232118405e-06,-0.001501369848457031,-0.0006727527038906457,0.0033512930877616543,1.0,0.007206564938439759
LATE_AIRCRAFT_DELAY,0.4914917158545568,0.4591373670185802,0.46976640925818797,0.42247247809902,0.0007822985595936268,-0.002740624066064295,-0.0019614404683590226,-0.0025996254533126486,0.04085805945013985,0.009563700193733576,0.03268119741283724,0.007206564938439759,1.0
